season,week,team,team_plays,team_pass_attempts,team_rush_attempts,team_tds,projected_team_plays,projected_team_pass_attempts,projected_team_rush_attempts,projected_team_tds,projected_pass_rate,projected_rush_rate,projected_team_tds_placeholder
2023,18,CAR,50.0,21.0,29.0,0.0,64.75,35.75,29.0,1.25,0.5521235521235521,0.44787644787644787,1.25
2024,1,CAR,55.0,35.0,20.0,1.0,57.5,31.0,26.5,1.0,0.5391304347826087,0.4608695652173913,1.0
2024,2,CAR,46.0,28.0,18.0,0.0,55.5,33.0,22.5,1.25,0.5945945945945946,0.40540540540540543,1.25
2024,3,CAR,71.0,40.0,31.0,4.0,51.0,30.5,20.5,0.25,0.5980392156862745,0.4019607843137255,0.25
2024,4,CAR,70.0,41.0,29.0,3.0,55.5,31.0,24.5,1.25,0.5585585585585585,0.44144144144144143,1.25
2024,5,CAR,58.0,39.0,19.0,1.0,60.5,36.0,24.5,2.0,0.5950413223140496,0.4049586776859504,2.0
2024,6,CAR,62.0,38.0,24.0,2.0,61.25,37.0,24.25,2.0,0.6040816326530613,0.39591836734693875,2.0
2024,7,CAR,43.0,20.0,23.0,2.0,65.25,39.5,25.75,2.5,0.6053639846743295,0.3946360153256705,2.5
2024,8,CAR,60.0,40.0,20.0,2.0,58.25,34.5,23.75,2.0,0.592274678111588,0.40772532188841204,2.0
2024,9,CAR,51.0,28.0,23.0,3.0,55.75,34.25,21.5,1.75,0.6143497757847534,0.38565022421524664,1.75
2024,10,CAR,58.0,26.0,32.0,2.0,54.0,31.5,22.5,2.25,0.5833333333333334,0.4166666666666667,2.25
2024,12,CAR,59.0,37.0,22.0,2.0,53.0,28.5,24.5,2.25,0.5377358490566038,0.46226415094339623,2.25
2024,13,CAR,68.0,47.0,21.0,2.0,57.0,32.75,24.25,2.25,0.5745614035087719,0.42543859649122806,2.25
2024,14,CAR,69.0,35.0,34.0,2.0,59.0,34.5,24.5,2.25,0.5847457627118644,0.4152542372881356,2.25
2024,15,CAR,50.0,34.0,16.0,2.0,63.5,36.25,27.25,2.0,0.5708661417322834,0.42913385826771655,2.0
2024,16,CAR,65.0,29.0,36.0,5.0,61.5,38.25,23.25,2.0,0.6219512195121951,0.3780487804878049,2.0
2024,17,CAR,46.0,33.0,13.0,3.0,63.0,36.25,26.75,2.75,0.5753968253968254,0.4246031746031746,2.75
2024,18,CAR,65.0,35.0,30.0,6.0,57.5,32.75,24.75,3.0,0.5695652173913044,0.43043478260869567,3.0
2023,1,CHI,72.0,42.0,30.0,3.0,62.0,34.0,27.0,2.4,0.5573770491803278,0.4426229508196721,2.4
2023,2,CHI,51.0,35.0,16.0,3.0,72.0,42.0,30.0,3.0,0.5833333333333334,0.4166666666666667,3.0
2023,3,CHI,51.0,25.0,26.0,1.0,61.5,38.5,23.0,3.0,0.6260162601626016,0.37398373983739835,3.0
2023,4,CHI,70.0,39.0,31.0,5.0,58.0,34.0,24.0,2.3333333333333335,0.5862068965517241,0.41379310344827586,2.3333333333333335
2023,5,CHI,64.0,32.0,32.0,4.0,61.0,35.25,25.75,3.0,0.5778688524590164,0.42213114754098363,3.0
2023,6,CHI,65.0,29.0,36.0,2.0,59.0,32.75,26.25,3.25,0.5550847457627118,0.4449152542372881,3.25
2023,7,CHI,69.0,31.0,38.0,3.0,62.5,31.25,31.25,3.0,0.5,0.5,3.0
2023,8,CHI,64.0,39.0,25.0,2.0,67.0,32.75,34.25,3.5,0.48880597014925375,0.5111940298507462,3.5
2023,9,CHI,64.0,32.0,32.0,2.0,65.5,32.75,32.75,2.75,0.5,0.5,2.75
2023,10,CHI,70.0,33.0,37.0,2.0,65.5,32.75,32.75,2.25,0.5,0.5,2.25
2023,11,CHI,71.0,25.0,46.0,2.0,66.75,33.75,33.0,2.25,0.5056179775280899,0.4943820224719101,2.25
2023,12,CHI,68.0,40.0,28.0,0.0,67.25,32.25,35.0,2.0,0.4795539033457249,0.5204460966542751,2.0
2023,14,CHI,67.0,37.0,30.0,3.0,68.25,32.5,35.75,1.5,0.47619047619047616,0.5238095238095238,1.5
2023,15,CHI,70.0,43.0,27.0,1.0,69.0,33.75,35.25,1.75,0.4891304347826087,0.5108695652173914,1.75
2023,16,CHI,67.0,28.0,39.0,3.0,69.0,36.25,32.75,1.5,0.5253623188405797,0.4746376811594203,1.5
2023,17,CHI,72.0,35.0,37.0,4.0,68.0,37.0,31.0,1.75,0.5441176470588235,0.45588235294117646,1.75
2023,18,CHI,46.0,21.0,25.0,0.0,69.0,35.75,33.25,2.75,0.5181159420289855,0.48188405797101447,2.75
2024,1,CHI,54.0,32.0,22.0,0.0,63.75,31.75,32.0,2.0,0.4980392156862745,0.5019607843137255,2.0
2024,2,CHI,66.0,44.0,22.0,1.0,59.75,29.0,30.75,1.75,0.48535564853556484,0.5146443514644351,1.75
2024,3,CHI,85.0,57.0,28.0,2.0,59.5,33.0,26.5,1.25,0.5546218487394958,0.44537815126050423,1.25
2024,4,CHI,54.0,26.0,28.0,3.0,62.75,38.5,24.25,0.75,0.6135458167330677,0.38645418326693226,0.75
2024,5,CHI,70.0,31.0,39.0,5.0,64.75,39.75,25.0,1.5,0.6138996138996139,0.3861003861003861,1.5
2024,6,CHI,61.0,32.0,29.0,5.0,68.75,39.5,29.25,2.75,0.5745454545454546,0.4254545454545455,2.75
2024,8,CHI,61.0,28.0,33.0,2.0,67.5,36.5,31.0,3.75,0.5407407407407407,0.45925925925925926,3.75
2024,9,CHI,70.0,47.0,23.0,0.0,61.5,29.25,32.25,3.75,0.47560975609756095,0.524390243902439,3.75
2024,10,CHI,59.0,39.0,20.0,0.0,65.5,34.5,31.0,3.0,0.5267175572519084,0.4732824427480916,3.0
2024,11,CHI,69.0,35.0,34.0,2.0,62.75,36.5,26.25,1.75,0.5816733067729084,0.41832669322709165,1.75
2024,12,CHI,75.0,53.0,22.0,3.0,64.75,37.25,27.5,1.0,0.5752895752895753,0.4247104247104247,1.0
2024,13,CHI,60.0,45.0,15.0,3.0,68.25,43.5,24.75,1.25,0.6373626373626373,0.3626373626373626,1.25
2024,14,CHI,53.0,32.0,21.0,2.0,65.75,43.0,22.75,2.0,0.6539923954372624,0.34600760456273766,2.0
2024,15,CHI,64.0,35.0,29.0,1.0,64.25,41.25,23.0,2.5,0.642023346303502,0.35797665369649806,2.5
2024,16,CHI,59.0,42.0,17.0,2.0,63.0,41.25,21.75,2.25,0.6547619047619048,0.34523809523809523,2.25
2024,17,CHI,58.0,35.0,23.0,0.0,59.0,38.5,20.5,2.0,0.652542372881356,0.3474576271186441,2.0
2024,18,CHI,57.0,31.0,26.0,2.0,58.5,36.0,22.5,1.25,0.6153846153846154,0.38461538461538464,1.25
2023,1,CIN,54.0,34.0,20.0,0.0,62.0,34.0,27.0,2.4,0.5573770491803278,0.4426229508196721,2.4
