projection_mode,season,week,team,opponent_team,player_id,player_name,position,projected_carries,projected_yards_per_carry,projected_rushing_yards_raw,calibration_bucket,calibration_multiplier,projected_rushing_yards_calibrated,projected_rushing_yards,is_prop_candidate,overall_rank,team_rank,position_rank,confidence_score,confidence_bucket,quality_flags,usage_status,leakage_status
historical_test,2025,1,LV,NO,00-0032104,A.Abdullah,RB,4.7716649915924165,4.611278576206027,22.003476548562425,15-25,1.058376776203558,23.28796857473809,23.28796857473809,True,113,5,102,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,TB,NO,00-0038951,S.Tucker,RB,4.201527420434921,5.228939113199898,21.96953106389403,15-25,1.058376776203558,23.25204146210809,23.25204146210809,True,114,4,103,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,SF,ARI,00-0035973,P.Taylor,RB,5.629153470855089,4.483650131910917,25.239154702146212,25-40,0.9165747317233124,23.133571450042844,23.133571450042844,True,115,5,104,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,CIN,PIT,00-0036906,K.Herbert,RB,5.380889778026178,4.03898520599599,21.733334208542782,15-25,1.058376776203558,23.00205619579202,23.00205619579202,True,116,4,105,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,NE,BUF,00-0039398,J.Milton,QB,8.375758597437626,2.585052935514918,21.65177934947045,15-25,1.058376776203558,22.915740426963303,22.915740426963303,True,117,5,12,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE|LOW_RUSH_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,NYJ,CLE,00-0034433,N.Bawden,RB,5.838650888755742,3.696847550263517,21.584602234940572,15-25,1.058376776203558,22.84464172905252,22.84464172905252,True,118,4,106,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE|LOW_RUSH_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,MIA,NYJ,00-0035993,T.Huntley,QB,4.500758597437627,4.780512597803849,21.515933174724555,15-25,1.058376776203558,22.771963990476163,22.771963990476163,True,119,5,13,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,NE,BUF,00-0039757,T.Jennings,RB,6.793439185140803,3.141862190122975,21.34404971669372,15-25,1.058376776203558,22.590046530282766,22.590046530282766,True,120,6,107,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE|LOW_RUSH_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,LAC,NE,00-0039391,K.Vidal,RB,5.501772518474136,3.834885445936928,21.098667357952223,15-25,1.058376776203558,22.330339540500717,22.330339540500717,True,121,5,108,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,ATL,DEN,00-0039393,J.McClellan,RB,6.793439185140803,3.091862190122975,21.004377757436682,15-25,1.058376776203558,22.230545617077556,22.230545617077556,True,122,3,109,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE|LOW_RUSH_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,GB,PHI,00-0038685,C.Brooks,RB,4.277814185140803,4.838831887092671,20.69962368611667,15-25,1.058376776203558,21.908000985538973,21.908000985538973,True,123,5,110,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,IND,JAX,00-0038397,E.Hull,RB,6.005317555422408,3.4468475502635174,20.699414104462225,15-25,1.058376776203558,21.90777916918319,21.90777916918319,True,124,4,111,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE|LOW_RUSH_SAMPLE,HISTORICAL TEST ONLY,PASS
historical_test,2025,1,PHI,KC,00-0036919,K.Gainwell,RB,5.171572017221004,3.993850826486611,20.654487175213134,15-25,1.058376776203558,21.86022955063981,21.86022955063981,True,125,5,112,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE,HISTORICAL TEST ONLY,PASS
