projection_mode,history_start_season,history_end_season,max_training_season,max_training_week,target_season,target_week,leakage_check,leakage_status,season,week,team,player_id,player_name,position,projected_team_pass_attempts,projected_target_share,projected_catch_rate,projected_receptions_raw,calibration_bucket,calibration_multiplier,projected_receptions_calibrated,projected_receptions,estimated_routes,is_prop_candidate,overall_rank,team_rank,position_rank,current_team_verified,team_verify_flag,team_source,team_context_note,route_proxy_status,confidence_score,confidence_bucket,quality_flags
historical_test,2023,2024,2024,22,2025,1,All feature history is before target season/week.,PASS,2025,1,GB,00-0039144,L.Musgrave,TE,32.0,0.0659977650063857,0.8026486406677472,1.6951365238235165,1-2,0.7798033969713766,1.321873219607829,1.321873219607829,14.890479068738912,True,402,10,107,True,,weekly_stats_historical,"Historical test mode: team is from loaded weekly/player stats context, not live roster confirmation.",ROUTE_PROXY_UNVALIDATED,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE
historical_test,2023,2024,2024,22,2025,1,All feature history is before target season/week.,PASS,2025,1,PHI,00-0033460,J.Ross,WR,26.25,0.1005747126436781,0.6401459367679092,1.690040458061828,1-2,0.7798033969713766,1.3178992902156748,1.3178992902156748,17.875539538517526,True,403,11,264,True,,weekly_stats_historical,"Historical test mode: team is from loaded weekly/player stats context, not live roster confirmation.",ROUTE_PROXY_UNVALIDATED,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE
historical_test,2023,2024,2024,22,2025,1,All feature history is before target season/week.,PASS,2025,1,TEN,00-0039392,J.Jackson,WR,34.5,0.0833333333333333,0.5877432279465155,1.6897617803462313,1-2,0.7798033969713766,1.3176819763863923,1.3176819763863923,6.325836308346905,True,404,16,265,True,,weekly_stats_historical,"Historical test mode: team is from loaded weekly/player stats context, not live roster confirmation.",ROUTE_PROXY_UNVALIDATED,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE
historical_test,2023,2024,2024,22,2025,1,All feature history is before target season/week.,PASS,2025,1,MIA,00-0031687,R.Mostert,RB,38.0,0.0485355987161126,0.9156921189286168,1.6888592788093957,1-2,0.7798033969713766,1.316978202622196,1.316978202622196,10.824524394658372,True,405,13,33,True,,weekly_stats_historical,"Historical test mode: team is from loaded weekly/player stats context, not live roster confirmation.",ROUTE_PROXY_UNVALIDATED,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE
historical_test,2023,2024,2024,22,2025,1,All feature history is before target season/week.,PASS,2025,1,ATL,00-0038542,B.Robinson,RB,30.75,0.0644820246927805,0.8512597517788584,1.6878967842758672,1-2,0.7798033969713766,1.3162276461153841,1.3162276461153841,12.799147493655829,True,406,9,34,True,,weekly_stats_historical,"Historical test mode: team is from loaded weekly/player stats context, not live roster confirmation.",ROUTE_PROXY_UNVALIDATED,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE
historical_test,2023,2024,2024,22,2025,1,All feature history is before target season/week.,PASS,2025,1,ATL,00-0034073,R.Dwelley,TE,30.75,0.0577107279693486,0.95,1.685874640804596,1-2,0.7798033969713766,1.3146507717673233,1.3146507717673233,6.500527830027768,True,407,10,108,True,,weekly_stats_historical,"Historical test mode: team is from loaded weekly/player stats context, not live roster confirmation.",ROUTE_PROXY_UNVALIDATED,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE
historical_test,2023,2024,2024,22,2025,1,All feature history is before target season/week.,PASS,2025,1,MIA,00-0036020,S.Ahmed,RB,38.0,0.0549655347075405,0.8053963751139926,1.682223611566908,1-2,0.7798033969713766,1.3118036867653324,1.3118036867653324,13.069027983145586,True,408,14,35,True,,weekly_stats_historical,"Historical test mode: team is from loaded weekly/player stats context, not live roster confirmation.",ROUTE_PROXY_UNVALIDATED,75,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE
historical_test,2023,2024,2024,22,2025,1,All feature history is before target season/week.,PASS,2025,1,BUF,00-0035527,A.Isabella,WR,30.25,0.0875,0.6337224980477582,1.6773842370201597,1-2,0.7798033969713766,1.3080299260545611,1.3080299260545611,10.126598844956122,True,409,10,266,True,,weekly_stats_historical,"Historical test mode: team is from loaded weekly/player stats context, not live roster confirmation.",ROUTE_PROXY_UNVALIDATED,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE
historical_test,2023,2024,2024,22,2025,1,All feature history is before target season/week.,PASS,2025,1,LV,00-0037509,S.McCormick,RB,39.0,0.0471973990441842,0.9089978470169536,1.673191030522575,1-2,0.7798033969713766,1.3047600493835423,1.3047600493835423,10.567017101347384,True,410,18,36,True,,weekly_stats_historical,"Historical test mode: team is from loaded weekly/player stats context, not live roster confirmation.",ROUTE_PROXY_UNVALIDATED,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE
historical_test,2023,2024,2024,22,2025,1,All feature history is before target season/week.,PASS,2025,1,BAL,00-0032951,L.Treadwell,WR,25.25,0.0929487179487179,0.7103891647144248,1.667251493147876,1-2,0.7798033969713766,1.3001283779623134,1.3001283779623134,12.840695898347803,True,411,8,267,True,,weekly_stats_historical,"Historical test mode: team is from loaded weekly/player stats context, not live roster confirmation.",ROUTE_PROXY_UNVALIDATED,60,Medium,ROUTE_PROXY_UNVALIDATED|LOW_CURRENT_SAMPLE|LOW_PLAYER_SAMPLE
