season,week,player_id,player_name,team,opponent,position,game_id,home_team,away_team,is_home,spread_line,total_line,team_implied_total,opponent_implied_total,favorite_status,spread_bucket,game_total_bucket,pass_volume_environment,rush_volume_environment,game_script_score,game_environment_reliability,game_environment_notes
2025,1,,C.Kirk,JAX,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,J.Williams,DEN,,RB,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,N.Westbrook-Ikhine,TEN,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,B.Tremayne,WAS,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,J.Whittington,LA,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,T.Jackson,MIN,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,00-0036442,J.Burrow,CIN,PIT,QB,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,A.Brown,PHI,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,I.Pacheco,KC,,RB,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,E.Moore,CLE,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,M.Strachan,CAR,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,C.Okonkwo,TEN,,TE,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,C.Austin,PIT,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,Mi.Wilson,ARI,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,R.Doubs,GB,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,T.Taylor,SF,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,Z.Moss,CIN,,RB,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,A.Bachman,LV,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,R.Cracraft,MIA,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,T.Jones,ARI,,RB,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,B.Nix,DEN,BUF,QB,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,B.Skowronek,PIT,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,D.Douglas,NE,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,T.Dell,HOU,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,J.Hurts,PHI,KC,QB,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,A.Lazard,NYJ,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,Z.Jones,ARI,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,A.Trammell,JAX,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,A.Richardson,IND,TEN,QB,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,D.Robinson,LA,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,T.Hockenson,MIN,,TE,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,J.Ford,CLE,,RB,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,T.Higbee,LA,,TE,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,C.Edmonds,TB,,RB,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,D.Montgomery,IND,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,T.Tucker,LV,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,K.Raymond,DET,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,R.Odunze,CHI,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,E.Elliott,DAL,,RB,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,J.Proche,CLE,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,M.Carter,ARI,,RB,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,X.Legette,CAR,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,D.Smith,PHI,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,C.Wilson,NO,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,T.Spears,TEN,,RB,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,A.Dillon,GB,,RB,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,D.Davis,LAC,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,M.Williams,PIT,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,J.Burrow,CIN,PIT,QB,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,K.Wilkerson,LV,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,L.Fournette,BUF,,RB,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,J.Agnew,JAX,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,W.Snead,SF,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,B.Means,NO,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,H.Renfrow,LV,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,J.Funk,IND,,RB,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,G.Edwards,LAC,,RB,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,J.Johnson,NO,,TE,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,M.Thomas,NO,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,D.Mooney,ATL,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,S.Zylstra,DET,,TE,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,I.Hodgins,NYG,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,L.Perine,KC,,RB,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,Z.Charbonnet,SEA,,RB,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,T.Lockett,SEA,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,00-0034796,L.Jackson,BAL,BUF,QB,2025_01_BAL_BUF,BUF,BAL,False,1.5,50.5,24.5,26.0,UNDERDOG,CLOSE,HIGH,POSITIVE,NEUTRAL,64.0,MEDIUM,From schedules.csv spread_line/total_line.
2025,1,,J.Warren,PIT,,RB,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,N.Fant,SEA,,TE,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,E.Hull,IND,,RB,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,A.Mattison,LV,,RB,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,K.Kirkwood,NO,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,L.Murray,BUF,,RB,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,K.Coleman,BUF,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,J.Akins,CLE,,TE,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,Z.Flowers,BAL,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,T.Johnson,LA,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,J.McLaughlin,DEN,,RB,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,M.Jones,DET,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,B.Oliver,TEN,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,D.Singletary,NYG,,RB,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,R.Bateman,BAL,,WR,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,D.Henderson,LA,,RB,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,T.Conklin,NYJ,,TE,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,D.Harris,BUF,,RB,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
2025,1,,A.Ekeler,WAS,,RB,,,,,,,,,,,,,,,MISSING,No schedule game matched team/opponent.
